Função,TempoTotal
"profiling",277.114734
"czon_linear_estimator",242.822338
"CZonotope.reduction",204.251544
"CZonotope.reduction>reduction_con",164.966574
"ScaleDualize",159.008828
"Scale",57.598694
"PartialSolve",40.471279
"CZonotope.reduction>reduction_gen",38.543807
"ReduceOrderChisci",30.566704
"waitbar",27.91797
"PartialSolve",23.450081
"CZonotope.plus",22.472544
"czon_linear_estimator>prediction",19.646047
"czon_linear_estimator>update",14.580815
"blkdiag",9.025662
"CZonotope.minus",8.795425
"waitbar>updateWaitbar",8.498868
"CZonotope.CZonotope>CZonotope.CZonotope",8.30414
"Capability>Capability.require",4.649253
"CZonotope.mtimes",4.512093
"Capability>Capability.Unsupported",4.083506
"CZonotope.intersection",3.691407
"uitools/private/uiwaitbar",3.660775
"DialogUtils>DialogUtils.checkDecaf",3.436337
"RmZeroConstr",3.43059
"Wrapfrom",3.32109
"setdiff",2.14505
"Wrapfrom",2.132894
"javax.swing.JProgressBar",2.11143
"blkdiag>getIndexVectors",1.855086
"setdiff>setdiffR2012a",1.84075
"Zonotope.unlift",1.744204
"CZonotope.lift",1.490686
"Zonotope.Zonotope>Zonotope.Zonotope",1.108056
"num2str",1.104791
"CZonotope.uminus",1.03611
"CZonotope.CZonotope>CZonotope.dim",1.033088
"Capability>Capability.Current",0.942722
"checkJVMError",0.902542
"unique",0.845885
"waitbar>extractHandles",0.791014
"blkdiag>checkAllAreMatrices",0.76876
"usejava",0.736906
"int2str",0.719636
"PostUpdatePlugin>@(sourceObj,evtData)obj.cacheLoad(sourceObj)",0.664717
"blkdiag>hasSameClass",0.657319
"PostUpdatePlugin>PostUpdatePlugin.cacheLoad",0.623837
"blkdiag>hasSparse",0.570195
"ismember",0.564623
"ismember>ismemberR2012a",0.436397
"Wrapto",0.393918
"Wrapto",0.376603
"hasDisplay",0.262193
"ismember>ismemberBuiltinTypes",0.209138
"waitbar>createWaitbar",0.133775
"unique>uniqueR2012a",0.122359
"CanvasPlugin.CanvasPlugin>CanvasPlugin.createCanvas",0.027025
"UnifiedAxesInteractions.createDefaultInteractions",0.026939
"UnifiedAxesInteractions.createDefaultInteractions>@()matlab.graphics.interaction.internal.UnifiedAxesInteractions.createDefaultInteractionsInSync(ax,is2dim,numDataSpaces)",0.025429
"UnifiedAxesInteractions.createDefaultInteractionsInSync",0.024931
"JavaMigrationTools>JavaMigrationTools.suppressedJavaComponent",0.023973
"ToolbarController.ToolbarController>@(e,d)obj.handleMouseMotion(e,d)",0.017939
"DesktopToolbarController.DesktopToolbarController>DesktopToolbarController.handleMouseMotion",0.017168
"UnifiedAxesInteractions.createInteractionsForTitlesAndLabels",0.017138
"CanvasSetup>CanvasSetup.createScribeLayers",0.016968
"UnifiedAxesInteractions.UnifiedAxesInteractions>UnifiedAxesInteractions.createCartesianAxesTextInteractions",0.016818
"javacomponent",0.016246
"ScribeStackManager.ScribeStackManager>ScribeStackManager.getLayer",0.016206
"UnifiedAxesInteractions.UnifiedAxesInteractions>UnifiedAxesInteractions.setDefaultBehaviorForTextArray",0.016016
"UnifiedAxesInteractions.setDefaultBehaviorForText",0.01522
"ScribeStackManager.ScribeStackManager>ScribeStackManager.createLayer",0.013809
"InteractionContainer>InteractionContainer.setInteractionsArray",0.012557
"InteractionContainer>InteractionContainer.set.InteractionsArray",0.012003
"uitools/private/javacomponentdoc_helper",0.011806
"ToolbarController.ToolbarController>ToolbarController.handleMouseMotion",0.011522
"ScribeLayer.ScribeLayer>ScribeLayer.ScribeLayer",0.009567
"TextInteractionContainer>TextInteractionContainer.updateInteractions",0.007189
"FigureUtils>@(~,ev)mls.internal.figureCreated(ev.Instance)",0.005823
"ToolbarFactory>ToolbarFactory.getToolbar",0.005684
"TextInteractionContainer>TextInteractionContainer.createJavaInteractions",0.005639
"JavaMigrationTools>suppressWarning",0.005454
"figureCreated",0.005273
"DesktopToolbarController.DesktopToolbarController>DesktopToolbarController.getInstance",0.00513
"InteractionContainer>InteractionContainer.InteractionContainer",0.004817
"DesktopToolbarController.DesktopToolbarController>DesktopToolbarController.translateEvent",0.004731
"CartesianAxesInteractionContainer>CartesianAxesInteractionContainer.CartesianAxesInteractionContainer",0.004701
"DesktopToolbarController.DesktopToolbarController>DesktopToolbarController.DesktopToolbarController",0.0047
"AnnotationPane.AnnotationPane>AnnotationPane.AnnotationPane",0.00462
"AnnotationPane.AnnotationPane>AnnotationPane.doSetup",0.003748
"EditInteraction>EditInteraction.createInteraction",0.003489
"StandardAxesInteractionContainer>StandardAxesInteractionContainer.StandardAxesInteractionContainer",0.003347
"ScribeLayer.ScribeLayer>@(src,event)hObj.childAdded(src,event)",0.003159
"EditInteraction>EditInteraction.EditInteraction",0.003076
"BaseAxesInteractionContainer>BaseAxesInteractionContainer.BaseAxesInteractionContainer",0.003047
"UnifiedAxesInteractions.queueCreateDefaultInteractionsOnAxes",0.002738
"TextInteractionContainer>TextInteractionContainer.TextInteractionContainer",0.002714
"TextInteractionContainer>TextInteractionContainer.findConflicts",0.002707
"DesktopToolbarController.DesktopToolbarController>DesktopToolbarController.getHitAxes",0.002681
"ToolbarController.ToolbarController>@(e,d)obj.delete()",0.00268
"ScribeLayer.ScribeLayer>ScribeLayer.childAdded",0.002677
"ToolbarController.ToolbarController>ToolbarController.ToolbarController",0.002388
"TextInteractionContainer>TextInteractionContainer.findDuplicateInteractions",0.002352
"DesktopToolbarController.DesktopToolbarController>DesktopToolbarController.canShowToolbar",0.002326
"figureCreated>@()morphAndUndockFigure(fig,d)",0.002156
"InteractionContainer>InteractionContainer.set.InteractionsArrayMode",0.001953
"ToolbarController.ToolbarController>ToolbarController.canShowToolbar",0.001876
"ToolbarController.ToolbarController>ToolbarController.delete",0.001743
"UnifiedAxesInteractions.queuedAxesOperations",0.001735
"PostUpdatePlugin>PostUpdatePlugin.PostUpdatePlugin",0.001674
"ToolbarController.ToolbarController>ToolbarController.useInteractionFramework",0.001584
"PostUpdatePlugin>@(sourceObj,evtData)obj.processInteractions(evtData.Canvas)",0.001474
"PointerMixin>PointerMixin.updatePointer",0.001311
"ScribeLayer.ScribeLayer>@(src,event)hObj.childRemovedOrDeleted(src,event)",0.001282
"cell.unique",0.001145
"ScribeLayer.ScribeLayer>ScribeLayer.delete",0.001131
"PointerMixin>PointerMixin.setPointerStrategy",0.001043
"AnnotationPane.AnnotationPane>AnnotationPane.getContainerForChild",0.000982
"settings",0.000932
"TextInteractions>TextInteractions.updateTextInteractions",0.000906
"opaque.char",0.000845
"ScribeLayer.ScribeLayer>ScribeLayer.childRemovedOrDeleted",0.000831
"PostUpdatePlugin>PostUpdatePlugin.processInteractions",0.000823
"AnnotationPane.AnnotationPane>AnnotationPane.setParentImpl",0.00081
"ScribeStackManager.ScribeStackManager>ScribeStackManager.findLayer",0.000722
"ChildEventData>ChildEventData.ChildEventData",0.000708
"TextInteractionContainer>TextInteractionContainer.validateInteractions",0.000682
"mustBeValidGraphicsObject",0.000663
"ToolbarController.ToolbarController>ToolbarController.getCanvasFigure",0.00063
"figureCreated>@(e,d)matlab.graphics.internal.drawnow.callback(@()morphAndUndockFigure(fig,d))",0.000623
"isUIFigure",0.000601
"editInteraction",0.000592
"ToolbarController.ToolbarController>ToolbarController.isPublishing",0.000583
"settings",0.000581
"CartesianAxesInteractionOptions>CartesianAxesInteractionOptions.CartesianAxesInteractionOptions",0.000573
"UnifiedAxesInteractions.UnifiedAxesInteractions>UnifiedAxesInteractions.getCanvas",0.000552
"getSettingsRoot",0.000542
"getFigureJavaFrame",0.000542
"ProcessInteractionsEventData>ProcessInteractionsEventData.ProcessInteractionsEventData",0.000541
"FigureUtils>FigureUtils.isEditorSnapshotFigure",0.000525
"CartesianAxesInteractionContainer>CartesianAxesInteractionContainer.getDefaultInteractionsArray",0.000497
"InteractionsList>InteractionsList.InteractionsList",0.000483
"ScribeStackManager.ScribeStackManager>ScribeStackManager.hasLayers",0.000477
"ControlManager.ControlManager>ControlManager.sendPVPairsToControl",0.000473
"InteractionInfoPanel>InteractionInfoPanel.hasBeenOpened",0.000472
"gcbf",0.000471
"InteractionContainer>InteractionContainer.get.InteractionsArray",0.000461
"ToolbarFactory>ToolbarFactory.getInstance",0.000435
"FigureUtils>FigureUtils.isEditorEmbeddedFigure",0.000418
"BaseAxesInteractionContainer>BaseAxesInteractionContainer.delete",0.000386
"AnnotationPane.AnnotationPane>AnnotationPane.getParentImpl",0.000358
"ToolbarController.ToolbarController>ToolbarController.isPlotEditMode",0.000342
"CanvasPlugin.CanvasPlugin>CanvasPlugin.getInstance",0.000339
"waitbar>@()set(0,'Units',oldRootUnits)",0.000336
"ScribeStackManager.ScribeStackManager>ScribeStackManager.getInstance",0.000322
"ScribeLayer.ScribeLayer>ScribeLayer.checkValidity",0.000285
"ScribeLayer.ScribeLayer>ScribeLayer.findCanvas",0.00027
"BaseAxesInteractionOptions>BaseAxesInteractionOptions.BaseAxesInteractionOptions",0.000259
"JavaMigrationTools>@()lastwarn(lastmsg,lastid)",0.000255
"PointerMixin>PointerMixin.hasUserModifiedPointer",0.000254
"JavaMigrationTools>@()warning(w)",0.00023
"InteractionContainer>InteractionContainer.get.Enabled",0.000227
"ToolbarController.ToolbarController>ToolbarController.getHitAxes",0.000219
"isPublishingTest",0.000218
"PointerMixin>PointerMixin.delete",0.000213
"InteractionContainer>InteractionContainer.clearList",0.000185
"AxesKeyboardInteractionManager>AxesKeyboardInteractionManager.AxesKeyboardInteractionManager",0.000184
"isFigureShowEnabled",0.000171
"FigurePointerModeStrategy>FigurePointerModeStrategy.FigurePointerModeStrategy",0.000168
"EditInteraction>EditInteraction.EditInteraction",0.000166
"FigureBasedModeStrategy>FigureBasedModeStrategy.FigureBasedModeStrategy",0.000162
"DefaultAxesInteractionSet>DefaultAxesInteractionSet.DefaultAxesInteractionSet",0.000157
"TextInteractionContainer>TextInteractionContainer.getDefaultInteractionsArray",0.000141
"java.awt.Color",1.7e-05
"java.lang.Class",1.1e-05
